" or "," lub "
"'%value%' appears to be a DNS hostname but cannot extract TLD part","'%value%' zdaje się być hostem DNS ale nie można pobrać części TLD"
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","'%value%' zdaje się być hostem DNS ale nie można dopasować TLD do znanej listy"
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","'%value%' zdaje się być hostem DNS ale nie można dopasować TLD '%tld%' do schematu hostów"
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position","'%value%' zdaje się być nazwą hosta DNS ale zawiera kreskę w niewłaściwym miejscu"
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded","'%value%' zdaje się być nazwą hosta DNS ale zawiera kreskę w niewłaściwym miejscu"
"'%value%' appears to be a local network name but local network names are not allowed","'%value%' zdaje się być nazwą lokalnej sieci ale nazwy lokalnej sieci nie są dozwolone"
"'%value%' appears to be an IP address, but IP addresses are not allowed","'%value%' zdaje się być adresem IP, ale adresy IP nie są dozwolone"
"'%value%' does not appear to be a valid local network name","'%value%' nie wydaje się być poprawną nazwą lokalnej sieci"
"* Required Fields","* wymagane pola"
"ALL GROUPS","WSZYSTKIE GRUPY"
"Account Dashboard","Panel konta"
"Account Information","Dane konta"
"Account Sharing Options","Opcje udostępniania konta"
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>.","Potwierdzenie konta jest wymagane. Prosimy sprawdzić skrzynkę odbiorczą e-mail, powinien tam czekać link potwierdzający. W celu ponownego przesłania e-maila z potwierdzeniem, prosimy <a href=""%s"">użyć tego linku</a>."
"Action","Operacja"
"Add New Address","Dodaj nowy adres"
"Add New Customer","Dodaj nowego klienta"
"Add New Customer Group","Dodaj nową grupę klientów"
"Added From","Dodano z"
"Additional Address Entries","Dodatkowe adresy"
"Address","Adres"
"Address Book","Książka adresowa"
"Address Books","Książki adresowe"
"Address Information","Informacje o adresie"
"Address Templates","Szablony adresu"
"Addresses","Adresy"
"Admin","Administrator"
"All","Wszystko"
"All Store Views","Wszystkie widoki sklepu"
"All countries","Wszystkie kraje"
"Always optional.","Zawsze opcjonalne."
"Amount","Kwota"
"An error occurred while deleting the address.","Wystąpił błąd podczas usuwania adresu."
"An error occurred while retrieving the option value: %s.","Wystąpił błąd podczas pobierania wartości opcji: %s.."
"An error occurred while saving the collection, aborting. Error: %s","Wystąpił błąd podczas zapisywania kolekcji, przerywam. Błąd: %s"
"An invalid option ID is specified for %s (%s), skipping the record.","Nieprawidłowy ID opcji dla %s (%s), pomijam wpis."
"Approved","Zaakceptowany"
"Are you sure that you want to remove this item?","Czy na pewno chcesz usunąć produkt?"
"Are you sure you want to cancel adding of this address?","Czy na pewno chcesz anulować dodawanie tego adresu?"
"Are you sure you want to delete this address?","Czy na pewno chcesz usunąć ten adres?"
"Are you sure?","Czy na pewno tego chcesz?"
"Array of Entity collections is expected.","Tablica kolekcji jednostek jest spodziewana."
"Assign a Customer Group","Przypisz grupę klientów"
"Average Sale","Średnia sprzedaż"
"Back","Powrót"
"Back - link to the previously viewed page","Powrót - link do poprzednio oglądanej strony"
"Back to Login","Powrót do logowania"
"Bad request.","Złe zapytanie."
"Based on the VAT ID, the customer would belong to the Customer Group %s.","W oparciu o VAT UE, klient powinien należeć do grupy klientów %s."
"Bill to Name","Rachunek na dane"
"Billing Information","Informacje o płatności"
"Bought From","Kupione od"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Zakładając konto w naszym sklepie będzie można przejść przez proces zamówienia dużo szybciej, przechowywać wiele adresów dostawy, śledzić statusy zamówień i korzystać z dodatkowych funkcji."
"CSV","CSV"
"Can't save address","Nie można zapisać adresu"
"Can't save customer","Nie można zapisać klienta"
